time,height
7.733333333,9.669039427
7.75,9.664341917
7.766666667,9.660999286
7.783333333,9.656339031
7.8,9.65169865
7.816666667,9.647078014
7.833333333,9.643800425
7.85,9.639216102
7.866666667,9.634651163
7.883333333,9.630105485
7.9,9.626891228
7.916666667,9.623690476
7.933333333,9.619196366
7.95,9.61472106
7.966666667,9.61026444
7.983333333,9.605826389
8,9.601406791
8.016666667,9.597005533
8.033333333,9.592622498
8.05,9.588257576
8.066666667,9.585195876
8.083333333,9.580864198
8.1,9.576550308
8.116666667,9.570976776
8.133333333,9.56670075
8.15,9.562442177
8.166666667,9.55820095
8.183333333,9.553976965
8.2,9.551034483
8.216666667,9.546842105
8.233333333,9.542666667
8.25,9.538508065
8.266666667,9.534366197
8.283333333,9.531492637
8.3,9.52738143
8.316666667,9.523286667
8.333333333,9.520452428
8.35,9.516387782
8.366666667,9.513578529
8.383333333,9.510780423
8.4,9.507993399
8.416666667,9.505217391
8.433333333,9.50122288
8.45,9.498471129
8.466666667,9.49573019
8.483333333,9.493
8.5,9.490280496
8.516666667,9.487571615
8.533333333,9.48365822
8.55,9.479760052
8.566666667,9.477087379
8.583333333,9.474425065
8.6,9.470567376
8.616666667,9.467927928
8.633333333,9.464097624
8.65,9.460282051
8.666666667,9.457677543
8.683333333,9.455083014
8.7,9.452498407
8.716666667,9.448734097
8.733333333,9.444984127
8.75,9.441248416
8.766666667,9.437526882
8.783333333,9.433819444
8.8,9.430126024
8.816666667,9.426446541
8.833333333,9.423954802
8.85,9.420300752
8.866666667,9.417829894
8.883333333,9.414200999
8.9,9.41058567
8.916666667,9.406983831
8.933333333,9.404556176
8.95,9.402137546
8.966666667,9.398571429
8.983333333,9.395018519
9,9.391478743
9.016666667,9.38795203
9.033333333,9.384438306
9.05,9.3809375
